label,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,mfcc_mean_14,mfcc_std_14,mfcc_mean_15,mfcc_std_15,mfcc_mean_16,mfcc_std_16,mfcc_mean_17,mfcc_std_17,mfcc_mean_18,mfcc_std_18,mfcc_mean_19,mfcc_std_19,mfcc_mean_20,mfcc_std_20,mfcc_mean_21,mfcc_std_21,mfcc_mean_22,mfcc_std_22,mfcc_mean_23,mfcc_std_23,mfcc_mean_24,mfcc_std_24,mfcc_mean_25,mfcc_std_25,mfcc_mean_26,mfcc_std_26,mfcc_mean_27,mfcc_std_27,mfcc_mean_28,mfcc_std_28,mfcc_mean_29,mfcc_std_29,mfcc_mean_30,mfcc_std_30,mfcc_mean_31,mfcc_std_31,mfcc_mean_32,mfcc_std_32,mfcc_mean_33,mfcc_std_33,mfcc_mean_34,mfcc_std_34,mfcc_mean_35,mfcc_std_35,mfcc_mean_36,mfcc_std_36,mfcc_mean_37,mfcc_std_37,mfcc_mean_38,mfcc_std_38,mfcc_mean_39,mfcc_std_39,mfcc_mean_40,mfcc_std_40
Normal,-535.42993,19.640682,86.60585,22.102095,70.731384,14.203284,51.462658,6.9690766,33.532845,7.820383,20.537884,11.152863,14.321893,10.980709,14.106559,8.315259,17.037985,5.6190743,20.029213,4.665689,21.094873,4.5436244,19.452585,4.1752186,15.4693165,3.936528,10.323218,3.9838572,5.3841453,4.069681,1.6684983,4.0620413,-0.33501938,3.9258611,-0.5971723,3.7401268,0.4744118,3.5467463,2.1346502,3.3691444,3.603475,3.1980288,4.3939996,3.023335,4.3518424,2.911275,3.6023698,2.9894562,2.510305,3.1622248,1.4847177,3.387607,0.7570783,3.701754,0.3858899,3.9885302,0.40325952,4.127468,0.84123695,4.111148,1.6801695,4.185064,2.8165457,4.874722,4.0563865,6.2403383,5.1168227,7.587465,5.7045884,8.223206,5.6886044,7.911676,5.1797767,6.934783,4.4279294,5.8036156,3.6742384,4.846294,3.0788956,4.097408
Normal,-476.85754,42.978996,116.12701,43.68051,80.114914,16.886541,44.182377,12.984042,19.522772,13.616937,7.2841964,9.654002,3.780721,7.945608,6.4320807,6.2631545,13.1112995,5.7339544,19.751072,5.2990446,22.332256,5.055394,20.278439,5.9311895,15.872732,6.1062126,11.171517,4.9771757,6.735346,4.791072,3.0763958,4.6403365,1.3721893,4.482152,2.076409,4.692642,3.9975748,3.7585967,5.4715753,3.324975,5.9927096,4.252438,6.112791,4.3245625,6.1573086,3.4911768,5.802824,3.1264744,4.787796,4.012593,3.490228,4.325941,2.5543919,4.2340555,2.2210553,3.8647103,2.2856643,3.1335099,2.5143461,2.6340818,2.821745,2.3686845,3.065061,2.5352907,2.9960752,2.404057,2.5877435,2.3769026,2.1506174,2.6959267,1.947551,2.5648112,1.846025,2.6251857,1.5620075,2.593697,1.12691,2.4276905,0.835204,2.4395378
Normal,-397.3629,41.955048,149.73563,42.678963,91.34776,17.370003,38.1314,13.877734,6.7227917,12.957158,-4.7051406,10.634426,-5.492899,9.5662775,0.15085965,8.123503,10.25076,6.686317,18.857443,5.6389318,19.613075,6.5990896,13.318193,6.745313,6.4134865,6.5190516,3.0832043,5.372423,1.9276328,4.5990305,0.3351615,4.62771,-1.2875156,4.6975574,-0.965998,4.824488,1.4633194,4.6450334,4.1267195,4.813592,5.517224,4.1887293,5.8865166,3.466464,6.1298823,3.907095,6.274628,4.6031995,5.568807,4.587643,3.8634682,4.58221,2.3143542,5.3453345,2.2017984,4.7141705,3.335126,3.857479,4.2719865,3.5949547,4.1298866,3.0133429,3.5120873,3.3209832,3.2920287,3.0218136,3.2626462,2.5262132,2.6834526,2.453956,1.6650987,2.4321988,1.1212169,2.6616848,1.373403,3.053087,1.6385256,2.9915717,1.1814661,2.4251692
Normal,-479.36862,63.2474,118.11223,57.6956,76.00413,20.357586,40.360455,15.885302,19.752848,16.145597,9.918664,12.886465,4.5769215,12.142381,4.8020988,9.79206,11.218953,5.732048,18.118864,5.9232545,19.262465,5.530661,15.309584,6.825325,11.015955,7.394176,8.240359,5.3497643,5.390104,4.360337,2.026436,6.224939,0.11530647,6.6115956,0.9567704,4.3441105,3.4234817,5.655142,5.6221004,6.6862774,6.689445,4.8757396,6.737443,3.1078913,6.1563096,3.1490138,5.347922,3.0386276,4.5463395,2.6957247,3.763313,3.9087324,3.105026,3.9964728,2.9041896,3.1927533,3.2332697,2.680481,3.6262918,2.3177855,3.6105697,2.342841,3.2337232,2.1233191,2.7946186,2.3549929,2.4176598,2.3715887,2.1657937,2.416807,2.1945775,2.5914729,2.4448125,2.3413656,2.502971,2.5597315,2.0981395,2.1193318,1.496508,2.252691
Normal,-443.13763,51.670128,127.496704,51.99877,81.52385,19.137085,39.133675,13.655474,13.854135,15.496173,3.7255714,12.244409,0.9895741,9.938292,3.0567136,7.111387,9.34527,5.1642833,15.854519,5.3015466,17.605175,5.272125,14.381847,6.134869,10.011636,7.183894,6.932656,6.0370245,4.321237,4.9830484,1.3385211,5.407443,-0.6769084,5.817253,-0.14271595,4.7741227,2.3548641,5.4100432,4.7976203,6.489183,6.031249,5.0066733,6.3978047,3.7189558,6.51301,2.8003988,6.31066,2.7393684,5.368799,4.4368253,3.7525156,5.4977083,2.2829397,5.1059566,1.9193679,3.5186074,2.809935,4.124108,4.04961,4.7064495,4.5404015,4.2701125,4.0206695,4.0508075,3.05387,3.6043513,2.185058,2.8917472,1.5143028,2.6374931,1.0721731,2.839456,1.08062,2.62468,1.568455,2.4783084,2.0633707,2.5130541,2.0273635,2.3281987
Normal,-430.40936,51.571526,127.046196,54.070812,79.26678,17.932213,35.728203,13.7551775,11.607931,15.829929,2.1447556,13.561271,-0.23251171,11.784992,3.4586422,8.821465,12.129623,6.1392965,19.419468,6.1249843,19.879198,6.0242333,15.304019,7.3886175,10.644163,6.9248323,6.9614887,5.1651344,2.46279,4.704472,-2.1177833,6.5199833,-3.6357892,6.376316,-1.2553605,4.251035,2.2856216,6.4881144,4.3255854,6.284802,5.013685,4.231704,5.841573,3.9191878,6.9907594,3.228903,7.1940217,3.6148517,5.6717076,4.4578543,3.3390307,4.21612,1.9057615,3.117076,2.0261226,3.9966807,2.7529342,4.161041,2.986777,2.610438,2.8813791,2.4835494,3.2026331,2.9941707,3.7903566,3.0960557,3.6559372,3.1317275,2.5627782,2.1783524,1.5145608,2.1894913,1.3519946,2.879114,1.673559,2.7323675,1.6242274,2.4702876,1.0973572,2.3693624
Normal,-508.45914,41.188477,113.361336,49.48963,84.94459,29.981329,51.28087,11.22069,22.645716,12.8553095,5.3369846,18.137297,-0.14767912,16.835657,2.9080985,11.687844,9.720397,7.269823,15.779627,5.1299887,18.252598,4.509608,16.618887,5.831824,12.260459,7.3031073,7.137507,7.44426,2.7646682,6.4840074,-0.08706611,5.2682495,-1.1689726,4.4398174,-0.67234,4.1175294,0.8231369,4.151743,2.5484357,4.293217,3.8904514,4.2326064,4.5374975,3.9361503,4.4010944,3.4788027,3.5374863,3.0314133,2.1862423,2.831357,0.7722808,3.0134118,-0.27582234,3.6343558,-0.7173383,4.6695805,-0.50472647,5.5552998,0.3731541,5.437532,1.9023076,5.4080877,3.847151,8.246758,5.619199,11.383163,6.5547204,12.093034,6.4217896,11.298181,5.6085777,10.648705,4.7167053,9.208389,4.0117183,7.20105,3.371153,5.9171643,2.7184439,4.803805
Normal,-528.3218,64.03153,117.164246,40.857204,86.205666,32.919544,56.172653,14.848931,28.350342,8.965218,9.884976,12.889159,2.6444097,12.17762,4.2324076,8.0031185,9.88975,4.3546877,15.124449,3.8788502,17.11661,5.2072234,15.538638,6.896257,11.543353,7.911065,6.9378214,7.5128183,3.1204271,6.05923,0.70771074,4.480929,-0.2670775,3.4967682,-0.07788887,3.2365015,0.9653599,3.420081,2.5298114,3.4885383,4.1321335,3.1822593,5.227655,2.8193758,5.3393855,2.7836788,4.3758025,3.1064906,2.7159028,3.6005585,0.9903547,3.985938,-0.2468235,4.045048,-0.7649077,3.775577,-0.6026137,3.6577141,0.112070024,4.103761,1.2346728,4.320496,2.599368,3.9689884,3.915688,4.758165,4.8109684,6.8561845,5.010871,8.249536,4.520296,8.174326,3.6497574,7.102964,2.8000536,5.7351084,2.2216997,4.372409,1.946005,3.167862
Normal,-500.1171,77.19662,136.26631,40.649788,96.54656,34.85823,58.636456,14.107002,24.584206,11.880857,4.242218,17.79453,-1.5812219,16.436033,2.962011,10.354114,10.682584,4.85745,15.934982,4.2767973,16.323965,4.9802423,12.842074,5.77854,7.949753,6.7570257,3.8338926,6.7913704,1.3368415,5.779525,0.20393272,4.569657,-0.19837773,3.8190022,-0.1775052,3.6379406,0.33516875,3.8136072,1.4478723,3.8708205,2.8946915,3.5716965,4.0415654,3.2867897,4.228667,3.2658708,3.2313328,3.1856573,1.4129404,3.0570436,-0.48524103,3.319386,-1.7958117,3.8108597,-2.233882,4.2278576,-1.9005169,4.7755313,-1.0212433,5.2428155,0.25996873,4.941297,1.8833714,4.8569703,3.7002456,7.5495543,5.3737493,11.360622,6.474359,13.696049,6.72494,13.523311,6.172329,11.439001,5.162884,9.083133,4.124802,7.766447,3.3557546,7.31887
Normal,-522.4162,39.767815,116.84967,45.918915,87.02168,29.1792,53.717876,10.890746,25.221945,10.042304,7.6900773,14.068971,1.8637751,13.184642,4.3909307,9.592073,10.387607,6.4545574,15.447619,5.7519727,17.380651,6.9988,16.303713,7.820025,13.164296,7.764222,8.810798,7.3701286,4.0213413,6.199625,0.020584902,5.516788,-1.9879725,5.5767365,-1.7200134,4.8355713,0.10823354,3.8891304,2.4307377,3.6444366,4.434452,3.9110775,5.55538,3.9791687,5.441119,3.7978292,4.218971,3.7560656,2.5543628,3.7016976,1.246508,3.2173476,0.6332805,2.494035,0.51798606,2.2955077,0.62501085,3.2378387,0.9855336,4.4387183,1.8589132,4.563929,3.294466,3.7783487,4.9028206,5.1525135,6.067296,7.8919854,6.347963,9.0760145,5.728883,8.279033,4.5563273,6.782219,3.35796,5.5297446,2.5933266,4.406769,2.3898325,3.6115763
Normal,-518.5757,46.557198,132.63618,43.539696,94.818054,27.859453,57.257385,13.16406,27.005762,10.881048,7.946857,12.165281,0.7582666,10.901983,2.7182844,8.340584,8.229816,7.0648317,13.24905,7.358922,16.137957,7.1753507,15.713821,6.326635,11.627376,6.5775676,5.8196106,6.553044,0.9794085,5.9802237,-1.7004379,5.3316,-2.3645353,4.18081,-1.4022218,3.6727524,0.52666515,3.7071927,2.4241924,3.9549184,3.6785812,4.324553,4.366921,4.3207145,4.5156054,3.8726828,3.7723935,3.4028485,2.1396184,3.3892386,0.38424635,3.4273605,-0.6215777,3.3489087,-0.54194486,3.234088,0.34611407,3.1073782,1.2995397,3.200692,1.6784128,3.8189816,1.726631,4.122091,2.228729,3.8541243,3.21543,5.8101234,3.7752428,8.194369,3.3516457,8.111822,2.497132,6.4159436,2.1323688,5.4710813,2.5461433,5.5035324,3.2708423,5.8143487
Normal,-331.0562,96.74846,187.60378,50.49537,-21.99566,37.5923,-39.62159,26.014488,17.125452,8.292102,16.882282,8.194817,8.037284,8.237348,4.102079,7.4079103,4.0868497,6.9710712,1.2741821,8.896534,10.0546,5.431977,14.03782,6.0370083,1.8210768,6.418573,0.27141613,6.511725,0.7611054,4.427007,5.1519494,4.350408,-0.70356536,4.5403047,11.6314125,3.5039065,-0.096111126,3.416591,5.4268026,3.7273908,-0.5809999,3.203155,5.833219,3.4110472,0.8751467,3.5201237,2.101281,2.7307928,1.3015931,2.3866713,2.4129739,2.6841712,1.29964,2.7047038,6.0198956,3.99233,1.4008445,3.413427,4.0318375,3.0796602,-1.3980904,3.9091854,6.047102,3.1736257,-0.86715484,3.0088341,3.5650728,2.6371636,0.1439191,2.8213623,5.257062,3.1094222,-1.1883485,3.1522107,3.7344215,2.3836014,-0.352589,2.890645,3.6446912,2.0802324
Normal,-331.8075,78.49035,188.95142,44.80395,-18.44824,31.069738,-44.151344,22.22769,16.965273,6.6928415,19.09121,7.277682,5.5619435,7.7576203,4.3853664,6.5661583,0.6026415,6.248996,0.31719628,5.9150624,5.9578915,5.737627,13.018059,4.759798,4.37166,4.609353,-1.196111,5.3399744,2.1146436,4.5500836,4.9549966,4.65207,-3.259817,4.6975236,12.177634,3.9315016,-0.53262657,3.1063542,2.9644108,4.434723,-1.4567747,2.987013,6.625791,3.643079,-0.0076636365,3.2341413,2.8340025,2.8023067,1.0454838,2.8810961,1.8421233,2.7075493,2.091339,3.4626136,4.6211333,4.126678,0.7360773,3.190852,5.055482,2.3710935,-1.4784853,2.532002,5.3208103,3.0967782,-0.95401746,3.1919715,4.7017007,2.7337666,-2.7629735,3.289039,6.231263,2.7466443,-1.4200389,1.9613917,3.5976212,2.3792543,0.27351502,2.8941593,2.91533,2.5510466
Normal,-340.2904,62.73642,189.07655,35.76056,-10.89505,28.574665,-46.07327,18.038658,13.484757,7.681324,22.003416,7.9765825,4.7675896,8.152922,-0.30539557,5.5590935,-0.41170475,4.925804,2.0145266,5.466718,8.361056,5.3536205,12.21055,5.075014,6.7090673,5.143627,1.0961934,4.590336,2.1489422,4.513275,4.881925,4.7175555,-1.560066,5.925635,12.068169,3.1215167,-0.027438149,2.8052664,4.009256,3.5379748,-0.15584645,3.8419814,7.4911666,3.127916,-0.82668453,3.6678925,6.0536265,3.747248,0.84287703,3.400241,2.168602,3.0937455,2.50275,2.9925044,5.277145,2.6974058,2.257574,3.475811,4.4730263,3.090963,-1.4930587,2.9655385,5.225327,2.9096458,-0.47971028,2.6598258,5.0787444,2.9660432,-1.9205179,2.894776,8.26474,2.682303,-1.0743785,2.881418,2.6659944,2.6627998,1.9964309,3.365818,3.0079286,2.2390249
Normal,-339.02435,71.51848,190.76237,41.11891,-14.182383,31.046963,-47.44247,22.483786,16.949623,6.5619855,16.410357,8.376057,5.893091,8.535974,1.4854999,7.2245493,1.509449,5.782224,1.6553209,5.7741776,9.274637,5.2146583,11.223788,5.303977,2.1645865,4.940062,2.2073965,5.967116,1.6567583,3.95074,4.8044977,4.678827,0.2161513,4.567214,10.499433,2.770358,0.72933054,4.252446,4.838168,3.8722675,0.23834303,2.9681275,6.7343926,2.959739,1.7858748,2.9995768,4.2961054,3.2902284,1.0789561,3.0441191,3.1362216,2.726751,1.8054255,2.8781621,5.8578143,2.895937,1.167101,3.120473,4.1699777,2.2592664,-0.9570958,2.7679367,5.0779634,2.8643293,-0.5306736,2.7136097,4.5537214,2.6115386,-1.2647761,2.759485,6.3917584,3.2038698,-1.6233498,3.0902915,3.2675436,2.7365718,0.31092262,2.8774033,3.8727753,2.4987533
Normal,-338.3866,56.24229,194.12756,32.933247,-16.40174,24.829077,-52.703964,19.073652,18.977793,5.443944,18.120075,7.825513,4.1722016,7.8436775,-0.16607477,5.0792065,0.93806833,4.4313984,2.2387438,4.7968187,7.4040265,5.454773,11.53496,5.0761447,3.741123,4.6530576,2.2920067,5.136807,1.070896,3.875643,5.110224,4.0530076,-0.47588685,4.048799,11.129592,3.1035166,0.22104327,3.5398612,3.5313122,3.8505566,-0.12948884,3.1341074,6.950142,2.8148549,-0.15552998,3.2664294,4.410094,3.2849338,0.40870252,3.2500277,3.5096614,2.708806,1.0263127,3.2120154,5.4742603,3.055816,0.2856116,2.7333136,4.221715,3.009063,-1.9733437,3.1906013,4.5222244,2.9536545,-0.7269787,2.5033405,4.3595386,3.0449126,-1.9285636,2.6782942,6.437334,2.543984,-3.2619581,3.1070085,3.5254736,2.4699047,0.9006369,2.8964846,2.817415,2.6721983
Normal,-333.1465,49.692066,197.6564,32.559074,-16.640377,23.09509,-51.92678,18.000816,18.481388,6.6598,15.911093,8.220478,0.4363592,7.274268,-1.5918126,5.6485543,2.8429732,4.4445343,3.3240066,3.9219925,9.33437,4.723508,9.423135,6.391115,0.92743146,4.085057,2.081516,4.052476,1.1579595,3.1072829,6.37143,4.304469,1.0965283,3.7143133,9.543125,3.139852,0.8661713,3.7998693,3.7181253,3.2315612,-2.390921,3.2958682,6.5970073,3.2427745,-1.1354367,2.5733662,5.754644,3.0283911,-0.44677266,2.792155,3.4912567,2.67021,2.5861552,3.0939448,4.9775486,2.6481357,0.9834791,3.0789552,4.498461,2.244753,-0.040132426,2.5357876,5.739364,2.68707,-1.1495048,3.1773906,6.4923053,2.5675654,-1.1293038,2.9340022,5.8312635,2.8743217,-1.6624166,2.5119357,3.5669005,2.9651248,2.0125334,3.1131904,2.3520353,3.11945
